,,,,,,,400,600,1045,2090,50%,,,"Topwear,Shirts,Tshirts",,,,,,Trousers,,Dress ,,,,,,Coord Set / Jumpsuits,,,,Ethnic Kurti / Set,,,,,,,,,Denim Jeans,,,,Outerwear / Jackets,,
Style Code,Brand Name,Category Type,SKU Id,Color,Size,L1,Fibre Composition,COO,PO PRCE,OSP in SAR,PO Qnty,Knitted / Wovan,Product Name / Title,Tops_Fit,Top_Tyle,Top_Neck,Top_Lenth,Top_pattern & Prints,sleeve_length,*pattern,*product_type_trousers,Dress Print,Dress Length,Dress Shape,*sleeve_length_women_topwear_dr(dress),*neck_women(dress),*sleeve_styling(dress),*pattern,*print_or_pattern_type,*bottom_type_sets,*top_type_set,Print,Length,ethnic_sleeve_length,*ethnic_pattern,*ethnic_fit,*ethnic_type,*ethnic_neckline,*ethnic_leg_style,ethnic_sleeve_type,Jeans_Fit,Jeans_Waist Rise,Jeans_stretch,Jeans_Wash Shade,pattern,product_type_Outerwear,length_topwear_nightwear_outer
HRDS25002-B-MAROON-XL,House Of Raeli,Dresses,,Maroon,XL,Women,100% Polyester,India,575,90,4,Woven,Women's Maroon polycrepe Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Long Sleeves,Collared Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25002-B-MAROON-XXL,House Of Raeli,Dresses,,Maroon,XXL,Women,100% Polyester,India,575,90,4,Woven,Women's Maroon polycrepe Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Long Sleeves,Collared Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-A-GREEN-S,House Of Raeli,Dresses,,Green,S,Women,100% Polyester,India,550,90,4,Woven,Women's Green Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-A-GREEN-M,House Of Raeli,Dresses,,Green,M,Women,100% Polyester,India,550,90,7,Woven,Women's Green Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-A-GREEN-L,House Of Raeli,Dresses,,Green,L,Women,100% Polyester,India,550,90,7,Woven,Women's Green Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-A-GREEN-XL,House Of Raeli,Dresses,,Green,XL,Women,100% Polyester,India,550,90,4,Woven,Women's Green Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-A-GREEN-XXL,House Of Raeli,Dresses,,Green,XXL,Women,100% Polyester,India,550,90,4,Woven,Women's Green Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS2503-B-PINK-S,House Of Raeli,Dresses,,Pink,S,Women,100% Polyester,India,550,90,4,Woven,Women's Pink Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS2503-B-PINK-M,House Of Raeli,Dresses,,Pink,M,Women,100% Polyester,India,550,90,7,Woven,Women's Pink Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS2503-B-PINK-L,House Of Raeli,Dresses,,Pink,L,Women,100% Polyester,India,550,90,7,Woven,Women's Pink Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS2503-B-PINK-XL,House Of Raeli,Dresses,,Pink,XL,Women,100% Polyester,India,550,90,4,Woven,Women's Pink Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS2503-B-PINK-XXL,House Of Raeli,Dresses,,Pink,XXL,Women,100% Polyester,India,550,90,4,Woven,Women's Pink Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-C-BLUE-S,House Of Raeli,Dresses,,Blue,S,Women,100% Polyester,India,550,90,4,Woven,Women's Blue Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-C-BLUE-M,House Of Raeli,Dresses,,Blue,M,Women,100% Polyester,India,550,90,7,Woven,Women's Blue Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-C-BLUE-L,House Of Raeli,Dresses,,Blue,L,Women,100% Polyester,India,550,90,7,Woven,Women's Blue Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-C-BLUE-XL,House Of Raeli,Dresses,,Blue,XL,Women,100% Polyester,India,550,90,4,Woven,Women's Blue Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25003-C-BLUE-XXL,House Of Raeli,Dresses,,Blue,XXL,Women,100% Polyester,India,550,90,4,Woven,Women's Blue Poly Weightless Ggt Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,High Neck,Regular Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-A-BROWN-S,House Of Raeli,Dresses,,Brown,S,Women,100% Cotton,India,625,100,4,Woven,Women's Brown Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-A-BROWN-M,House Of Raeli,Dresses,,Brown,M,Women,100% Cotton,India,625,100,7,Woven,Women's Brown Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-A-BROWN-L,House Of Raeli,Dresses,,Brown,L,Women,100% Cotton,India,625,100,7,Woven,Women's Brown Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-A-BROWN-XL,House Of Raeli,Dresses,,Brown,XL,Women,100% Cotton,India,625,100,4,Woven,Women's Brown Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-A-BROWN-XXL,House Of Raeli,Dresses,,Brown,XXL,Women,100% Cotton,India,625,100,4,Woven,Women's Brown Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-B-NAVY-S,House Of Raeli,Dresses,,Navy,S,Women,100% Cotton,India,625,100,4,Woven,Women's Navy Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-B-NAVY-M,House Of Raeli,Dresses,,Navy,M,Women,100% Cotton,India,625,100,7,Woven,Women's Navy Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-B-NAVY-L,House Of Raeli,Dresses,,Navy,L,Women,100% Cotton,India,625,100,7,Woven,Women's Navy Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
